English,hi,bn,te,mr,ta,gu,kn,ml,pa,or,as,ur,sa,ne,kok,mai,doi,bodo,sd,ks,mni,sat
"Education, posture correction and regular exercise.","शिक्षा, मुद्रा सुधार और नियमित व्यायाम।","শিক্ষা, ভঙ্গি সংশোধন ও নিয়মিত ব্যায়াম।","విద్య, భంగిమ సవరణ, క్రమం తప్పని వ్యాయామం.","शिक्षण, पवित्रा सुधारणा आणि नियमित व्यायाम.","கல்வி, தோரணை திருத்தம் மற்றும் வழக்கமான உடற்பயிற்சி.","શિક્ષણ, મુદ્રા સુધારણા અને નિયમિત કસરત.","ಶಿಕ್ಷಣ, ಭಂಗಿ ತಿದ್ದುಪಡಿ ಮತ್ತು ನಿಯಮಿತ ವ್ಯಾಯಾಮ.","വിദ്യാഭ്യാസം, ഇരിപ്പുരീതി തിരുത്തൽ, പതിവ് വ്യായാമം.","ਸਿੱਖਿਆ, ਪੋਸਚਰ ਸੁਧਾਰ ਅਤੇ ਨਿਯਮਿਤ ਕਸਰਤ।","ଶିକ୍ଷା, ଭଙ୍ଗୀ ସଂଶୋଧନ ଓ ନିୟମିତ ବ୍ୟାୟାମ।","শিক্ষা, ভংগী সংশোধন আৰু নিয়মীয়া ব্যায়াম।",تعلیم، طرزِ نشست کی اصلاح اور باقاعدہ ورزش۔,"शिक्षणम्, आसनसंशोधनम्, नियमितव्यायामश्च।","शिक्षा, आसन सुधार र नियमित व्यायाम।","शिक्षण, पवित्रा सुदारणी आनी नेमान व्यायाम.","शिक्षा, मुद्रा सुधार आ नियमित व्यायाम।","शिक्षा, मुद्रा सुधार ते नियमित कसरत।",,تعليم، بيهڪ جي درستي ۽ باقاعدي ورزش.,تعلیٖم، پوسچر درستی تہٕ بقاعدہ ورزش,"তম্বীবা, পোস্চর শেমদোকপা অমসুং মতম চানা এক্সরসাইজ তৌবা।","Education, posture correction ᱟᱨ ᱱᱤᱭᱚᱢᱤᱛ exercise᱾"
Enter manually,मैन्युअल रूप से दर्ज करें,হাতে লিখে দিন,మాన్యువల్‌గా నమోదు చేయండి,स्वतः भरा,கைமுறையாக உள்ளிடு,મેન્યુઅલી દાખલ કરો,ಕೈಯಿಂದ ನಮೂದಿಸಿ,നേരിട്ട് നൽകുക,ਹੱਥੀਂ ਦਾਖਲ ਕਰੋ,ମାନୁଆଲ୍ ଭାବେ ଭରନ୍ତୁ,হাতেৰে দিয়ক,دستی طور پر درج کریں,स्वयं प्रविशतु,हातैले प्रविष्ट गर्नुहोस्,हातान भरात,हाथसँ दर्ज करू,हत्थ कन्ने भरो,आथिं हांख्राय,هٿ سان داخل ڪريو,ہاتھٕ سٕتؠ دٲخل کریو,খুৎনা চঙশিল্লু,ᱛᱤᱦ ᱛᱮ ᱜᱟᱸᱴ ᱢᱮ
Excellent spine protection,उत्कृष्ट रीढ़ सुरक्षा,চমৎকার মেরুদণ্ড সুরক্ষা,అద్భుతమైన వెన్నెముక రక్షణ,उत्कृष्ट मणका संरक्षण,சிறந்த முதுகுத்தண்டு பாதுகாப்பு,ઉત્કૃષ્ટ કરોડરજ્જુ સુરક્ષા,ಅತ್ಯುತ್ತಮ ಬೆನ್ನುಮೂಳೆ ರಕ್ಷಣೆ,മികച്ച നട്ടെല്ല് സംരക്ഷണം,ਸ਼ਾਨਦਾਰ ਰੀੜ੍ਹ ਦੀ ਸੁਰੱਖਿਆ,ଉତ୍କୃଷ୍ଟ ମେରୁଦଣ୍ଡ ସୁରକ୍ଷା,উৎকৃষ্ট মেৰুদণ্ড সুৰক্ষা,ریڑھ کی ہڈی کا بہترین تحفظ,उत्कृष्टं मेरुरक्षणम्,उत्कृष्ट मेरुदण्ड सुरक्षा,,उत्कृष्ट रीढ़ सुरक्षा,बेहतरीन रीढ़ रक्षा,,شاندار ريڙهه جي هڏي جي حفاظت,شاندار ریڑھٕ ہنٛز حِفاظت,মখোং য়াম্না ফনা ঙাকথোকপা,ᱵᱷᱟᱜᱮ spine ᱨᱩᱠᱷᱤᱭᱟ
Exercise,व्यायाम,ব্যায়াম,వ్యాయామం,व्यायाम,உடற்பயிற்சி,કસરત,ವ್ಯಾಯಾಮ,വ്യായാമം,ਕਸਰਤ,ବ୍ୟାୟାମ,ব্যায়াম,ورزش,व्यायामः,व्यायाम,व्यायाम,व्यायाम,कसरत,बेसाद,ورزش,ورزش,এক্সরসাইজ,ᱠᱟᱥᱨᱟᱛ
Faster & more accurate,तेज़ और अधिक सटीक,দ্রুততর ও আরও নির্ভুল,వేగంగా & మరింత కచ్చితంగా,जलद आणि अधिक अचूक,வேகமான & மிகவும் துல்லியமான,ઝડપી અને વધુ સચોટ,ವೇಗವಾದ ಮತ್ತು ಹೆಚ್ಚು ನಿಖರ,വേഗത്തിലും കൂടുതൽ കൃത്യതയോടെയും,ਤੇਜ਼ ਅਤੇ ਵਧੇਰੇ ਸਹੀ,ଦ୍ରୁତ ଓ ଅଧିକ ସଠିକ,দ্ৰুত আৰু অধিক সঠিক,تیز اور زیادہ درست,शीघ्रतरम् अधिकयथार्थं च,छिटो र बढी सटीक,,तेज आ बेसि सटीक,तेज़ ते मता सटीक,,تيز ۽ وڌيڪ درست,تیٚز تہٕ زیادٕ درست,হেন্না থুবা অমসুং হেন্না অশেংবা,
Female,महिला,নারী,స్త్రీ,स्त्री,பெண்,સ્ત્રી,ಮಹಿಳೆ,സ്ത്രീ,ਔਰਤ,ମହିଳା,মহিলা,خاتون,स्त्री,महिला,बायल,महिला,जनानी,हिन्जाव,عورت,زنانہٕ,নুপী,ᱠᱩᱲᱤ
Fever / infection,बुखार / संक्रमण,জ্বর / সংক্রমণ,జ్వరం / ఇన్‌ఫెక్షన్,ताप / संसर्ग,காய்ச்சல் / தொற்று,તાવ / ચેપ,ಜ್ವರ / ಸೋಂಕು,പനി / അണുബാധ,ਬੁਖ਼ਾਰ / ਇਨਫੈਕਸ਼ਨ,ଜ୍ୱର / ସଂକ୍ରମଣ,জ্বৰ / সংক্ৰমণ,بخار / انفیکشن,ज्वरः / संक्रमणम्,ज्वरो / संक्रमण,ताप / संसर्ग,बुखार / संक्रमण,बुखार / संक्रमण,,بخار / انفيڪشن,بُخار / انفیکشن,অরুবা / ইনফেক্সন,ᱰᱟᱦ / infection
Free physio screening,मुफ़्त फिज़ियो जाँच,বিনামূল্যে ফিজিও স্ক্রিনিং,ఉచిత ఫిజియో స్క్రీనింగ్,मोफत फिजिओ तपासणी,இலவச பிசியோ பரிசோதனை,મફત ફિઝિયો તપાસ,ಉಚಿತ ಫಿಸಿಯೋ ಸ್ಕ್ರೀನಿಂಗ್,സൗജന്യ ഫിസിയോ സ്ക്രീനിംഗ്,ਮੁਫ਼ਤ ਫਿਜ਼ੀਓ ਜਾਂਚ,ମାଗଣା ଫିଜିଓ ସ୍କ୍ରିନିଂ,বিনামূলীয়া ফিজিঅ' পৰীক্ষণ,مفت فزیو اسکریننگ,निःशुल्कं भौतिकचिकित्सापरीक्षणम्,निःशुल्क फिजियो जाँच,फुकट फिजियो स्क्रीनिंग,नि:शुल्क फिजियो स्क्रीनिंग,मुफ्त फिजियो स्क्रीनिंग,,مفت فزيو معائنو,مُفت فِزیو سکریننگ,অমম্বা ফিজিও স্ক্রিনিং,ᱢᱩᱯᱷᱛ physio screening
From your height & weight. Higher BMI loads the lumbar discs.,आपकी ऊँचाई और वज़न से। अधिक BMI लंबर डिस्क पर भार डालता है।,আপনার উচ্চতা ও ওজন থেকে। বেশি বিএমআই কোমরের ডিস্কে বেশি ভার দেয়।,మీ ఎత్తు & బరువు నుండి. ఎక్కువ BMI నడుము డిస్క్‌లపై భారం పెంచుతుంది.,तुमच्या उंची आणि वजनावरून. जास्त BMI कंबरेच्या डिस्कवर भार टाकते.,உங்கள் உயரம் & எடையிலிருந்து. அதிக BMI இடுப்பு வட்டுகளில் சுமையை அதிகரிக்கிறது.,તમારી ઊંચાઈ અને વજનમાંથી. વધુ BMI કમરની ડિસ્ક પર ભાર વધારે છે.,ನಿಮ್ಮ ಎತ್ತರ ಮತ್ತು ತೂಕದಿಂದ. ಹೆಚ್ಚಿನ BMI ಸೊಂಟದ ಡಿಸ್ಕ್‌ಗಳ ಮೇಲೆ ಭಾರ ಹೇರುತ್ತದೆ.,നിങ്ങളുടെ ഉയരവും ഭാരവും അനുസരിച്ച്. ഉയർന്ന BMI നടുവിലെ ഡിസ്കുകൾക്ക് ഭാരം കൂട്ടുന്നു.,ਤੁਹਾਡੀ ਉਚਾਈ ਅਤੇ ਭਾਰ ਤੋਂ। ਵੱਧ BMI ਲੰਬਰ ਡਿਸਕਾਂ 'ਤੇ ਭਾਰ ਪਾਉਂਦਾ ਹੈ।,ଆପଣଙ୍କ ଉଚ୍ଚତା ଓ ଓଜନରୁ। ଅଧିକ BMI କଟି ଡିସ୍କ ଉପରେ ଭାର ବଢ଼ାଏ।,আপোনাৰ উচ্চতা আৰু ওজনৰ পৰা। অধিক BMIয়ে কঁকালৰ ডিস্কত ভাৰ বঢ়ায়।,آپ کے قد اور وزن سے۔ زیادہ BMI کمر کی ڈسکس پر بوجھ ڈالتا ہے۔,तव औन्नत्यभाराभ्यां। उच्चः BMI कटिचक्रिकाः भारयति।,तपाईंको उचाइ र तौलबाट। उच्च BMI ले कम्मरका डिस्कमा भार बढाउँछ।,तुमच्या उंचाये आनी वजनावेल्यान. चड BMI कमरेच्या डिस्कांचेर भार घालता.,अहाँक ऊँचाई आ वजन सँ। बेसि BMI लम्बर डिस्क पर भार बढ़बैत अछि।,तुंदी कद ते वजन चा। बड्डा BMI लंबर डिस्कें पर बोझ पांदा ऐ।,,توهان جي قد ۽ وزن مان. وڌيڪ BMI ڪمر جي ڊسڪن تي بار وجهي ٿو.,توہنٛدِ قٔدہ تہٕ وَزنہٕ پؠٹھٕ۔ ز،یادٕ BMI لمبر ڈسکَن پؠٹھٕ بوجھ ٹھاوان,নহাক্কী অশাংবা অমসুং অরুমদগি। BMI হেনগৎপনা লম্বার ডিস্কসিংদা পোৎলুম হেনগৎহল্লি।,ᱟᱢᱟᱜ usul ᱟᱨ ᱵᱷᱟᱨ ᱠᱷᱚᱱ᱾ ᱨᱮᱝᱜᱮᱫ BMI ᱫᱚ lumbar disc ᱨᱮ ᱰᱷᱮᱨ ᱵᱷᱟᱨ ᱮᱢᱟ᱾
Function,कार्यक्षमता,কার্যকারিতা,పనితీరు,कार्य,செயல்பாடு,કાર્ય,ಕಾರ್ಯಚಟುವಟಿಕೆ,പ്രവർത്തനക്ഷമത,ਕੰਮ-ਕਾਜ,କାର୍ଯ୍ୟକ୍ଷମତା,কাৰ্যকৰিতা,کام کاج,कार्यक्षमता,कार्यक्षमता,,कार्य,कारज,खामानि,ڪارڪردگي,کٲم کرُن,থবক,ᱠᱟᱹᱢᱤ ᱫᱟᱲᱮ
Get my Spine Score,मेरा Spine Score पाएँ,আমার স্পাইন স্কোর দেখুন,నా స్పైన్ స్కోర్ పొందండి,माझा Spine Score मिळवा,என் Spine Score ஐப் பெறு,મારો Spine Score મેળવો,ನನ್ನ ಸ್ಪೈನ್ ಸ್ಕೋರ್ ಪಡೆಯಿರಿ,എന്റെ സ്പൈൻ സ്കോർ നേടുക,ਮੇਰਾ ਸਪਾਈਨ ਸਕੋਰ ਲਵੋ,ମୋ Spine Score ପାଆନ୍ତୁ,মোৰ স্পাইন স্ক'ৰ লওক,میرا اسپائن اسکور حاصل کریں,मम मेरु-अंकं प्राप्नुयाम्,मेरो Spine Score लिनुहोस्,म्हजो Spine Score मेळयात,अपन Spine Score पाउ,मेरा Spine Score लैओ,आंनि Spine Score मोन,منهنجو Spine Score حاصل ڪريو,مٛیون سپائن سکور حٲصل کریو,ঐগী Spine Score ফংহল্লু,ᱟᱢᱟᱜ Spine Score ᱧᱟᱢ ᱢᱮ
Go to my dashboard →,मेरे डैशबोर्ड पर जाएँ →,আমার ড্যাশবোর্ডে যান →,నా డ్యాష్‌బోర్డ్‌కు వెళ్లండి →,माझ्या डॅशबोर्डवर जा →,என் டாஷ்போர்டுக்குச் செல் →,મારા ડેશબોર્ડ પર જાઓ →,ನನ್ನ ಡ್ಯಾಶ್‌ಬೋರ್ಡ್‌ಗೆ ಹೋಗಿ →,എന്റെ ഡാഷ്ബോർഡിലേക്ക് പോകുക →,ਮੇਰੇ ਡੈਸ਼ਬੋਰਡ 'ਤੇ ਜਾਓ →,ମୋ ଡ୍ୟାସ୍‍ବୋର୍ଡକୁ ଯାଆନ୍ତୁ →,মোৰ ডেছব'ৰ্ডলৈ যাওক →,میرے ڈیش بورڈ پر جائیں →,मम फलकं प्रति गच्छतु →,मेरो ड्यासबोर्डमा जानुहोस् →,म्हज्या डॅशबोर्डाक वचात →,अपन डैशबोर्ड पर जाउ →,अपने डैशबोर्ड पर जाओ →,आंनि dashboard आव था →,منهنجي ڊيش بورڊ ڏانهن وڃو →,مٛیون ڈیش بورڈ کُن گژھیو →,ঐগী ড্যাশবোর্দতা চৎলু →,ᱟᱢᱟᱜ dashboard ᱪᱟᱞᱟᱜ →
Goal,लक्ष्य,লক্ষ্য,లక్ష్యం,ध्येय,இலக்கு,ધ્યેય,ಗುರಿ,ലക്ഷ്യം,ਟੀਚਾ,ଲକ୍ଷ୍ୟ,লক্ষ্য,ہدف,लक्ष्यम्,लक्ष्य,ध्येय,लक्ष्य,लक्ष्य,,مقصد,ہدف,পান্দম,ᱞᱟᱠᱷ
Goal met,लक्ष्य पूरा हुआ,লক্ষ্য পূরণ হয়েছে,లక్ష్యం చేరుకుంది,ध्येय गाठले,இலக்கு எட்டப்பட்டது,ધ્યેય પૂર્ણ થયું,ಗುರಿ ಸಾಧಿಸಲಾಗಿದೆ,ലക്ഷ്യം നേടി,ਟੀਚਾ ਪੂਰਾ ਹੋਇਆ,ଲକ୍ଷ୍ୟ ପୂରଣ ହେଲା,লক্ষ্য পূৰ হ’ল,ہدف پورا ہوا,लक्ष्यं प्राप्तम्,लक्ष्य पूरा भयो,ध्येय गाठलें,लक्ष्य पूरा भेल,लक्ष्य पूरा,,مقصد پورو ٿيو,ہدف پورٕ گو,পান্দম ফংলে,ᱞᱟᱠᱷ ᱯᱩᱨᱟᱹᱣ
Good morning,सुप्रभात,শুভ সকাল,శుభోదయం,शुभ सकाळ,காலை வணக்கம்,શુભ સવાર,ಶುಭೋದಯ,സുപ്രഭാതം,ਸ਼ੁਭ ਸਵੇਰ,ଶୁଭ ସକାଳ,শুভ ৰাতিপুৱা,صبح بخیر,सुप्रभातम्,शुभ प्रभात,बरें फांतोडें,शुभ प्रभात,शुभ प्रभात,फुं मोजां जायोयै,صبح بخير,صُبح بخیر,নুংথিল ফজরে,ᱫᱮᱢᱟ ᱥᱮᱛᱟᱜ
Health device,हेल्थ डिवाइस,স্বাস্থ্য ডিভাইস,ఆరోగ్య పరికరం,आरोग्य उपकरण,சுகாதார சாதனம்,હેલ્થ ડિવાઇસ,ಆರೋಗ್ಯ ಸಾಧನ,ഹെൽത്ത് ഉപകരണം,ਹੈਲਥ ਡਿਵਾਈਸ,ସ୍ୱାସ୍ଥ୍ୟ ଡିଭାଇସ୍,স্বাস্থ্য ডিভাইচ,ہیلتھ ڈیوائس,स्वास्थ्योपकरणम्,स्वास्थ्य उपकरण,भलायकेचें उपकरण,हेल्थ डिवाइस,सेहत यंत्र,हेल्थ डिभाइस,صحت وارو آلو,ہیلتھ ڈیوائس,হেল্থ ডিভাইস,
Height (cm),ऊँचाई (cm),উচ্চতা (সেমি),ఎత్తు (సెం.మీ.),उंची (cm),உயரம் (செ.மீ),ઊંચાઈ (cm),ಎತ್ತರ (ಸೆಂ.ಮೀ.),ഉയരം (cm),ਉਚਾਈ (ਸੈਮੀ),ଉଚ୍ଚତା (ସେମି),উচ্চতা (চেমি),قد (سینٹی میٹر),औन्नत्यम् (से.मी.),उचाइ (सेमी),उंचाय (cm),ऊँचाई (cm),कद (cm),जौगा (cm),قد (سينٽي ميٽر),قٔد (cm),অশাংবা (cm),ᱩᱥᱩᱞ (cm)
Height · Weight,ऊँचाई · वज़न,উচ্চতা · ওজন,ఎత్తు · బరువు,उंची · वजन,உயரம் · எடை,ઊંચાઈ · વજન,ಎತ್ತರ · ತೂಕ,ഉയരം · ഭാരം,ਉਚਾਈ · ਭਾਰ,ଉଚ୍ଚତା · ଓଜନ,উচ্চতা · ওজন,قد · وزن,औन्नत्यम् · भारः,उचाइ · तौल,उंचाय · वजन,ऊँचाई · वजन,कद · वजन,जौगा · लिरगिरि,قد · وزن,قٔد · وَزَن,অশাংবা · অরুম,ᱩᱥᱩᱞ · ᱵᱷᱟᱨ
High degeneration pattern,उच्च अपक्षय (डिजेनरेशन) पैटर्न,উচ্চ ক্ষয়ের ধরন,అధిక క్షీణత నమూనా,उच्च झीज पद्धत,அதிக சிதைவு முறை,ઊંચા ઘસારાની પેટર્ન,ಹೆಚ್ಚಿನ ಸವೆತದ ಮಾದರಿ,ഉയർന്ന ശോഷണ മാതൃക,ਉੱਚ ਘਸਾਅ ਦਾ ਨਮੂਨਾ,ଉଚ୍ଚ ଅବକ୍ଷୟ ଢାଞ୍ଚା,উচ্চ ক্ষয়ৰ আৰ্হি,زیادہ تنزلی کا نمونہ,उच्चक्षयप्रतिरूपम्,उच्च क्षयको ढाँचा,,उच्च क्षरण प्रतिरूप,उच्च क्षरण ढांचा,,تيز ٽٽڻ جو نمونو,,,
History of cancer,कैंसर का इतिहास,ক্যান্সারের ইতিহাস,క్యాన్సర్ చరిత్ర,कर्करोगाचा इतिहास,புற்றுநோய் வரலாறு,કેન્સરનો ઇતિહાસ,ಕ್ಯಾನ್ಸರ್ ಇತಿಹಾಸ,കാൻസർ ചരിത്രം,ਕੈਂਸਰ ਦਾ ਇਤਿਹਾਸ,କର୍କଟ ରୋଗର ଇତିହାସ,কৰ্কট ৰোগৰ ইতিহাস,کینسر کی تاریخ,अर्बुदस्य इतिहासः,क्यान्सरको इतिहास,कॅन्सराचो इतिहास,कैंसरक इतिहास,कैंसर दा इतिहास,,ڪينسر جي تاريخ,کینسرُک سابقہ,কেন্সরগী পুর্বা পুৱারি,Cancer ᱨᱮᱭᱟᱜ ᱯᱩᱨᱟᱹᱱ ᱠᱟᱛᱷᱟ
Home,होम,হোম,హోమ్,होम,முகப்பு,હોમ,ಮುಖಪುಟ,ഹോം,ਘਰ,ହୋମ୍,হোম,ہوم,गृहम्,होम,घर,होम,घर,नो,گهر,گٔر,য়ুম,ᱚᱲᱟᱜ
How bad is your,कितना बुरा है आपका,কতটা খারাপ আপনার,మీ నొప్పి ఎంత తీవ్రంగా ఉంది,किती तीव्र आहे तुमची,உங்கள் வலி எவ்வளவு மோசமானது,કેટલો ખરાબ છે તમારો,ನಿಮ್ಮ ನೋವು ಎಷ್ಟು ತೀವ್ರವಾಗಿದೆ,നിങ്ങളുടെ വേദന എത്ര കഠിനമാണ്,ਤੁਹਾਡਾ ਕਿੰਨਾ ਮਾੜਾ ਹੈ,କେତେ ଖରାପ ଆପଣଙ୍କ,কিমান বেয়া আপোনাৰ,کتنا شدید ہے آپ کا,कीदृक् तीव्रा तव,कत्तिको खराब छ तपाईंको,कितलो वायट आसा तुमचो,कतेक खराब अछि अहाँक,कितना बुरा ऐ तुंदा,नोंनि सेथि बेदाय,ڪيترو خراب آهي توهان جو,کِتھ خراب چھُ توٚہنٛد,করম্না ফত্তবগে নহাক্কী,ᱪᱮᱫ ᱞᱮᱠᱟ ᱵᱟᱹᱲᱤᱡ ᱟᱢᱟᱜ
How long has it lasted?,यह कितने समय से है?,কতদিন ধরে চলছে?,ఇది ఎంతకాలంగా ఉంది?,ते किती काळ टिकले आहे?,இது எவ்வளவு காலம் நீடித்தது?,કેટલો સમય ચાલ્યો છે?,ಇದು ಎಷ್ಟು ಕಾಲ ಇದೆ?,ഇത് എത്രകാലമായി തുടരുന്നു?,ਇਹ ਕਿੰਨੀ ਦੇਰ ਤੋਂ ਰਿਹਾ ਹੈ?,ଏହା କେତେ ଦିନ ଧରି ଚାଲିଛି?,ই কিমান দিন ধৰি আছে?,یہ کتنے عرصے سے ہے؟,कियत्कालं यावत् अभवत्?,यो कति समयदेखि छ?,कितलो वेळ राविल्लो?,कतेक दिन सँ अछि?,ए’ कितनी देर रेहा ऐ?,बेयो माब्ला निफ्राय जादों?,اهو ڪيتري دير کان آهي؟,یہٕ کٔتیاہ وَقت تھۆد؟,করম্বা মতম চুপ্পা লৈরে?,ᱪᱤᱢᱤᱱ ᱚᱠᱛᱚ ᱦᱟᱵᱤᱡ ᱢᱮᱱᱟᱜ-ᱟ?
How much does it limit you?,यह आपको कितना सीमित करता है?,এটি আপনাকে কতটা সীমাবদ্ধ করে?,ఇది మిమ్మల్ని ఎంతగా పరిమితం చేస్తుంది?,ते तुम्हाला किती मर्यादित करते?,இது உங்களை எந்த அளவுக்கு கட்டுப்படுத்துகிறது?,તે તમને કેટલું મર્યાદિત કરે છે?,ಇದು ನಿಮ್ಮನ್ನು ಎಷ್ಟು ಮಿತಿಗೊಳಿಸುತ್ತದೆ?,ഇത് നിങ്ങളെ എത്രമാത്രം പരിമിതപ്പെടുത്തുന്നു?,ਇਹ ਤੁਹਾਨੂੰ ਕਿੰਨਾ ਸੀਮਤ ਕਰਦਾ ਹੈ?,ଏହା ଆପଣଙ୍କୁ କେତେ ସୀମିତ କରେ?,ই আপোনাক কিমান সীমিত কৰে?,یہ آپ کو کتنا محدود کرتا ہے؟,इदं त्वां कियत् सीमयति?,यसले तपाईंलाई कति सीमित गर्छ?,तें तुमकां कितलें मर्यादीत करता?,ई अहाँकेँ कतेक सीमित करैत अछि?,ए’ तुसें गी कितना रोकदा ऐ?,बेयो नोंखौ माबोरै बानायो?,اهو توهان کي ڪيترو محدود ڪري ٿو؟,یہٕ توہِ کِتیاہ روٗکاوان؟,মসিনা নহাক্কী করম্না অপানবা পী?,ᱪᱤᱢᱤᱱ ᱟᱢ ᱨᱳᱠ ᱮᱫ ᱢᱮᱭᱟ?
LOW,कम,কম,తక్కువ,कमी,குறைவு,ઓછું,ಕಡಿಮೆ,കുറവ്,ਘੱਟ,କମ୍,কম,کم,न्यूनम्,कम,,कम,घट्ट,,گهٽ,کَم,,
Language,भाषा,ভাষা,భాష,भाषा,மொழி,ભાષા,ಭಾಷೆ,ഭാഷ,ਭਾਸ਼ਾ,ଭାଷା,ভাষা,زبان,भाषा,भाषा,भास,भाषा,भाशा,राव,ٻولي,زبان,লোন,ᱯᱟᱹᱨᱥᱤ
Latest score,नवीनतम स्कोर,সর্বশেষ স্কোর,తాజా స్కోర్,ताजा स्कोअर,சமீபத்திய மதிப்பெண்,તાજેતરનો સ્કોર,ಇತ್ತೀಚಿನ ಸ್ಕೋರ್,ഏറ്റവും പുതിയ സ്കോർ,ਤਾਜ਼ਾ ਸਕੋਰ,ସର୍ବଶେଷ ସ୍କୋର,শেহতীয়া স্ক'ৰ,تازہ ترین اسکور,नवीनतमः अंकः,पछिल्लो स्कोर,निमाणो गुण,नवीनतम स्कोर,ताजा अंक,जोबथा स्कोर,تازو اسڪور,تازٕ سکور,অকোনবা স্কোর,ᱢᱩᱪᱟᱹᱫ score
Learn more →,और जानें →,আরও জানুন →,మరింత తెలుసుకోండి →,अधिक जाणून घ्या →,மேலும் அறிக →,વધુ જાણો →,ಇನ್ನಷ್ಟು ತಿಳಿಯಿರಿ →,കൂടുതൽ അറിയുക →,ਹੋਰ ਜਾਣੋ →,ଅଧିକ ଜାଣନ୍ତୁ →,অধিক জানক →,مزید جانیں →,अधिकं ज्ञायताम् →,थप जान्नुहोस् →,अदीक जाणात →,बेसि जानू →,होर सिक्खो →,गोबां सोलोंथ →,وڌيڪ سکو →,ہیٚتؠ ژٲنیو →,হেন্না খঙউ →,ᱰᱷᱮᱨ ᱵᱟᱰᱟᱭ →
Leg pain & sciatica,पैर का दर्द और साइटिका,পায়ে ব্যথা ও সায়াটিকা,కాలు నొప్పి & సయాటికా,पायदुखी आणि सायटिका,கால் வலி & சயாட்டிகா,પગનો દુખાવો અને સાયટિકા,ಕಾಲು ನೋವು ಮತ್ತು ಸಯಾಟಿಕಾ,കാൽവേദനയും സയാറ്റിക്കയും,ਲੱਤ ਦਾ ਦਰਦ ਅਤੇ ਸਾਇਟਿਕਾ,ଗୋଡ଼ ବେଦନା ଓ ସାଇଟିକା,ঠেঙৰ বিষ আৰু চিয়াটিকা,ٹانگ کا درد اور سائیٹیکا,पादपीडा गृध्रसी च,खुट्टा दुखाइ र साइटिका,पायांचो दुखावो आनी सायटिका,गोड़ दर्द आ साइटिका,लत्त दा दर्द ते साइटिका,आथिं बेदाय & sciatica,ٽنگ جو درد ۽ سائيٽيڪا,ٹینٛگہ درد تہٕ سایٹِکا,খোঙগী অনাবা অমসুং Sciatica,ᱡᱟᱝᱜᱟ ᱦᱟᱥᱩ & sciatica
Less than 3 weeks,3 सप्ताह से कम,৩ সপ্তাহের কম,3 వారాల కంటే తక్కువ,3 आठवड्यांपेक्षा कमी,3 வாரங்களுக்கும் குறைவாக,3 અઠવાડિયાંથી ઓછું,3 ವಾರಗಳಿಗಿಂತ ಕಡಿಮೆ,3 ആഴ്ചയിൽ കുറവ്,3 ਹਫ਼ਤਿਆਂ ਤੋਂ ਘੱਟ,୩ ସପ୍ତାହରୁ କମ୍,৩ সপ্তাহতকৈ কম,3 ہفتوں سے کم,३ सप्ताहेभ्यः न्यूनम्,३ हप्ताभन्दा कम,3 आठवड्यांपरस उणो,3 सप्ताह सँ कम,3 हफ्तें थमां घट्ट,3 हाबथानिख्राय खम,3 هفتن کان گهٽ,3 ہفتن کھۆتہٕ کم,চয়োল ৩ দগি হেন্থবা,3 ᱦᱟᱹᱴᱤᱧ ᱠᱷᱚᱱ ᱠᱚᱢ
Loss of bladder or bowel control,मूत्राशय या आंत पर नियंत्रण का नुकसान,মূত্র বা মলত্যাগের নিয়ন্ত্রণ হারানো,మూత్రాశయ లేదా మల నియంత్రణ కోల్పోవడం,मूत्राशय किंवा आतड्यांवरील नियंत्रण गमावणे,சிறுநீர் அல்லது மலக் கட்டுப்பாட்டை இழத்தல்,મૂત્રાશય કે મળ પરનો કાબૂ ગુમાવવો,ಮೂತ್ರಕೋಶ ಅಥವಾ ಕರುಳಿನ ನಿಯಂತ್ರಣ ಕಳೆದುಕೊಳ್ಳುವಿಕೆ,മൂത്രമോ മലമോ നിയന്ത്രിക്കാനാവാത്ത അവസ്ഥ,ਪਿਸ਼ਾਬ ਜਾਂ ਟੱਟੀ 'ਤੇ ਕਾਬੂ ਦਾ ਖੁੱਸਣਾ,ମୂତ୍ରାଶୟ କିମ୍ବା ଅନ୍ତ୍ର ନିୟନ୍ତ୍ରଣ ହରାଇବା,প্ৰস্ৰাৱ বা মলৰ নিয়ন্ত্ৰণ হেৰোৱা,پیشاب یا پاخانے پر قابو کا ختم ہونا,मूत्राशयस्य मलाशयस्य वा नियन्त्रणनाशः,पिसाब वा दिसा नियन्त्रण गुम्नु,मुतडें वा शौचाचेर ताबो वगडावप,मूत्राशय वा आँतक नियंत्रण गमाएब,पिशाब जां मल पर काबू दा खोह,,پيشاب يا فضلي تي ضابطو وڃائڻ,پیشاب یا پاخانہ کنٹرول گٔو,স্যুজা নৎত্রগা পুক্নুংগী খুদম পাংথোকপা মাংখিবা,ᱯᱮᱥᱟᱵ ᱟᱨ ᱯᱟᱭᱠᱷᱟᱱᱟ ᱫᱷᱟᱨᱟ ᱱᱳᱜ
